site_name,latitude,longitude,state,com_type,commod1,dep_type,prod_size,dev_stat,ore,work_type,hrock_type,arock_type
Estrella,-10.49793,-75.2497,Pasco,M,,,,Producer,,,,
San Cristobal/Huaripampa Division,-11.69788,-75.79971,Junin,M,"Copper, Lead, Silver, Zinc",,,Plant,,,,
Michiquillay,-6.89808,-78.19977,Cajamarca,M,Copper,,,Prospect,,Surface,,
Los Pinos,-7.14806,-70.53289,,M,Copper,,,Prospect,,,,
La Esperanza,-10.16464,-76.94974,Ancash,M,,,,Past Producer,,,,
San Juan,-9.48127,-77.62476,Ancash,M,,,,Unknown,,,,
San Vicente,-11.2312,-77.29975,Junin,M,Zinc,,,Producer,,Underground,,
Tingo,-6.89808,-79.0998,Cajamarca,M,,,,Producer,,,,
Casapalca,-11.66458,-76.23302,Lima,M,"Zinc, Lead, Silver",,,Plant,,Underground,,
Canariac0,-6.08142,-79.2498,Piura,M,Copper,,,Occurrence,,,,
Quiruvilca,-7.79804,-77.99976,Cajamarca,M,"Lead, Silver, Zinc",,,Producer,,Underground,,
Humana,-9.26798,-77.35975,Ancash,M,,,,Producer,,Underground,,
Probayovar Phosphoric Acid Plant,-5.84813,-81.06655,Pasco,N,Phosphorus-Phosphates,,,Plant,,,,
Coroccohuayco,-14.83106,-71.3829,,M,Copper,,,Prospect,,Underground,,
Graciela-Juanita Mines,-11.83117,-76.63303,Huanuco,B,Barium-Barite,,,Producer,,"Surface, Underground",,
Manon,-11.99786,-75.99971,Junin,M,Copper,,,Producer,,,,
Matagente,-10.68122,-76.26642,Pasco,M,,,,Prospect,,,,
Andaychagua,-11.69788,-75.233,Junin,M,"Silver, Zinc, Lead",,,Plant,,,,
Santa Benita,-9.89795,-77.08975,Ancash,M,,,,Occurrence,,,,
El Dorado,-7.13977,-78.51648,Cajamarca,M,"Lead, Zinc, Copper",,,Producer,,,,
San Agustin,-7.08807,-78.31978,Cajamarca,M,,,,Producer,,,,
Pallares,-9.49797,-77.14975,Ancash,M,,,,Occurrence,,,,
Pashpap,-8.93129,-77.92477,Ancash,M,Copper,,,Prospect,,Surface,,
Putapuquio,-9.49797,-77.14975,Ancash,M,,,,Occurrence,,,,
Sextri,-9.28408,-77.39975,Ancash,M,,,,Prospect,,,,
Arabia,-9.89795,-77.08975,Ancash,M,,,,Past Producer,,,,
