site_name,latitude,longitude,state,com_type,commod1,dep_type,prod_size,dev_stat,ore,work_type,hrock_type,arock_type
"Betty, Mina",-13.05061,-74.93302,Huancavelica,M,"Zinc, Lead, Silver",,U,Occurrence,,,Limestone,
"Cambalache, Mina",-12.98672,-74.78301,Huancavelica,M,"Zinc, Lead, Silver",,U,Occurrence,,,,
"Esperanza No. 1, Mina",-12.64923,-74.71635,Huancavelica,M,"Silver, Copper",,S,Occurrence,,,Andesite,
"Martha 15, Mina",-12.68256,-75.06913,Huancavelica,M,"Silver, Lead, Zinc",,S,Occurrence,,,,
"Martina 1, Mina",-12.64784,-75.03302,Huancavelica,M,"Copper, Silver",,S,Occurrence,,,Andesite,Andesite
"Rene No. 2, Mina",-13.26171,-75.5497,Huancavelica,M,"Iron, Copper, Lead, Silver",,S,Occurrence,,,Diorite,
"Bonanza, Mina",-13.18115,-75.23303,Huancavelica,M,"Zinc, Lead, Silver",,S,Occurrence,,,"Tuff,Andesite",
"Santa Beatriz, Mina",-13.20504,-75.70332,Huancavelica,M,"Lead, Zinc, Silver, Copper",,S,Occurrence,,,Andesite,
"Plata Negra, Mina",-13.88558,-74.98941,Huancavelica,M,"Zinc, Lead, Silver",,S,Occurrence,,,,
"Heraldo 2, Mina",-13.0395,-74.98025,Huancavelica,M,"Lead, Zinc, Silver",,S,Occurrence,,,Andesite,
"Banquera Primera, Mina",-12.71728,-74.95802,Huancavelica,M,"Silver, Mercury",,N,Occurrence,,,,
"Banquera Segunda, Mina",-12.74784,-74.96913,Huancavelica,M,"Silver, Mercury",,N,Occurrence,,,Limestone,
"Ccello Machay, Mina",-13.18115,-74.89136,Huancavelica,M,"Copper, Silver",,S,Occurrence,,,Andesite,
"Monterrico 2, Mina",-12.13953,-74.81636,Huancavelica,M,"Lead, Silver",Manto,S,Occurrence,,,Limestone,
"Monterrico 4, Mina",-12.13675,-74.81636,Huancavelica,M,"Lead, Silver",Manto,S,Occurrence,,,Limestone,
"Emmita Cuatro, Mina",-13.32282,-74.99968,Huancavelica,M,"Zinc, Lead, Silver",,S,Occurrence,,,Volcanic Rock (Aphanitic),
"Rosalina  Quinta, Mina",-13.02561,-74.99136,Huancavelica,M,"Zinc, Copper, Lead, Silver",,S,Occurrence,"Argentite, Malachite",,Andesite,
"San Martin, Mina",-13.59503,-75.19969,Huancavelica,M,"Copper, Silver",,S,Occurrence,,,Andesite,
"Saraccoto, Mina",-13.61587,-75.15247,Huancavelica,M,"Copper, Silver",,S,Occurrence,,,Andesite,
"San Hilarion, Mina",-12.78117,-74.97747,Huancavelica,M,"Silver, Zinc, Lead",,S,Occurrence,,,Limestone,
"La Pequena, Mina",-13.00616,-74.83302,Huancavelica,M,Mercury,,U,Occurrence,,,,
"Billetera, Mina",-13.0145,-74.84969,Huancavelica,M,Lead,,U,Occurrence,Galena,,Limestone,
"Papa Noel, Mina",-13.0145,-74.82191,Huancavelica,M,Silver,Manto,U,Occurrence,,,Limestone,
"Monterrico 5, Mina",-13.0145,-74.97469,Huancavelica,B,"Silver, Lead",,S,Occurrence,,,Volcanic Rock (Aphanitic),
"Virgen De Fatima, Mina",-12.38424,-74.55774,Huancavelica,M,"Copper, Iron, Silver",Manto,S,Occurrence,,,Slate,
"Josefina, Mina",-12.47841,-75.18302,Huancavelica,M,"Silver, Gold, Lead",,S,Occurrence,,,Trachyte,
"Aurelio I, Prospecto",-12.6784,-75.12747,Huancavelica,M,"Gold, Lead, Zinc, Silver",,S,Occurrence,,,Limestone,
"Natividad Alta, Mina",-12.67423,-75.03858,Huancavelica,M,"Silver, Lead, Zinc",,S,Occurrence,,,Limestone,
"Ilusion, Mina",-12.68951,-75.07469,Huancavelica,M,"Zinc, Lead, Silver",,S,Occurrence,,,Limestone,
"Tinyacclla Ix, Mina",-12.65895,-75.03858,Huancavelica,M,"Silver, Lead, Zinc, Copper",,S,Occurrence,,,Limestone,
"Tinyacclla I, Mina",-12.65617,-75.0358,Huancavelica,M,"Silver, Lead, Zinc",,N,Occurrence,,,Limestone,
"Colquemina, Proyecto",-12.66451,-75.03025,Huancavelica,M,"Silver, Lead",,U,Occurrence,Galena,,Limestone,
"Virgen Del Carmen, Prospecto",-12.65062,-75.03302,Huancavelica,M,"Silver, Lead, Gold",,U,Occurrence,Galena,,Limestone,
"Tinyacclla Vi, Mina",-12.65062,-75.0358,Huancavelica,M,"Silver, Lead, Zinc",,U,Occurrence,,,Limestone,
"Tinyacclla Viii, Mina",-12.48674,-75.0358,Huancavelica,M,"Lead, Zinc",,U,Occurrence,,,,
"Tinyacclla Viii, Prospecto",-12.6534,-75.03025,Huancavelica,M,"Gold, Silver, Lead, Zinc",,U,Occurrence,,,Limestone,
"Riflecito, Prospecto",-12.71728,-75.05525,Huancavelica,M,"Lead, Silver",,U,Occurrence,Galena,,Limestone,
"El Rifle, Prospecto",-12.64784,-75.03302,Huancavelica,M,Copper,,U,Occurrence,,,Plutonic Rock,
"Pepito, Mina",-13.03116,-74.98302,Huancavelica,M,"Zinc, Lead, Silver",,S,Producer,,Underground,Andesite,Andesite
"Valeria, Prospecto",-12.72562,-75.04969,Huancavelica,M,Copper,,U,Occurrence,,,Limestone,
"Cristina, Mina",-12.72284,-75.05247,Huancavelica,M,"Zinc, Copper, Silver, Lead",,U,Occurrence,,,Limestone,
"Tinyacclla Xxxv, Prospecto",-12.65617,-75.03858,Huancavelica,M,"Lead, Zinc, Copper",,U,Occurrence,,,,
"Lourdes De Cerro De Pasco Dos, Mina",-12.36785,-74.79969,Huancavelica,M,"Lead, Silver, Zinc",,M,Producer,,,,
Laguna Salinas,-16.36438,-71.14126,Arequipa,N,Boron-Borates,,Y,Producer,"Inyoite, Ulexite",,"Clay, Mud","Volcanic Ash,Dacite"
"Santa Celina No. 2, Cantera",-14.39361,-75.54414,Ica,N,Bentonite,,Y,Past Producer,,,"Bentonite,Shale",
"Mendieta, Cantera",-14.05612,-76.24972,Ica,N,Bentonite,,S,Producer,,,Clastic Sedimentary Rock,
"El Chucho, Cantera",-14.13946,-76.21639,Ica,N,Bentonite,,S,Producer,,Surface,"Bentonite,Shale",
"Laguna Grande, Cantera",-14.13112,-76.2775,Ica,N,Bentonite,,S,Producer,,,,
"Aora, Cantera",-14.11446,-76.2275,Ica,N,Bentonite,,Y,Occurrence,,,"Bentonite,Shale",
"Echegaray Area 2, Cantera",-13.88252,-76.39972,Ica,N,Bentonite,,Y,Occurrence,,,"Bentonite,Shale",
"Echegaray Area 3, Cantera",-13.9178,-76.28972,Ica,N,Bentonite,,Y,Occurrence,,,"Bentonite,Shale",
"Ensenada Yumaqui, Cantera",-13.8978,-76.28722,Ica,N,Bentonite,,Y,Occurrence,,Surface,"Bentonite,Shale",
"Kilometro 264, Cantera",-13.8978,-76.04277,Ica,N,Bentonite,,N,Occurrence,,,"Bentonite,Shale",
"El Incognito, Cantera",-13.63114,-76.14972,Ica,N,Bentonite,,Y,Past Producer,,,"Bentonite,Shale",
"Imperdible, Cantera",-14.01862,-76.24972,Ica,N,Bentonite,,Y,Past Producer,,,"Bentonite,Shale",
"El Alamo, Cantera",-13.43114,-76.03722,Ica,N,Bentonite,,Y,Producer,,Surface,Limestone,
"Juana Consuelo, Cantera",-13.45892,-76.11639,Ica,N,Bentonite,,Y,Occurrence,,,"Bentonite,Shale",
"Juana Consuelo No. 2, Cantera",-13.46448,-76.12472,Ica,N,Bentonite,,Y,Occurrence,,,"Bentonite,Shale",
"Bellavista, Cantera",-13.42281,-76.08305,Ica,N,Bentonite,,Y,Past Producer,,,"Bentonite,Shale",
"Santa Celina No. 1, Cantera",-14.41445,-75.51637,Ica,N,Bentonite,,Y,Past Producer,,,"Bentonite,Shale",
"El Chino, Cantera",-14.43111,-75.52192,Ica,N,Bentonite,,Y,Past Producer,,,"Bentonite,Shale",
"Nita No. 1, Cantera",-14.74777,-75.72971,Ica,N,Bentonite,,Y,Past Producer,,,Shale,
"Nita No. 2, Cantera",-14.74777,-75.72971,Ica,N,Bentonite,,Y,Past Producer,,,Shale,
"Nita No. 3, Cantera",-14.74777,-75.72971,Ica,N,Bentonite,,Y,Past Producer,,,Shale,
"El Diamante, Cantera",-15.34497,-75.16497,Ica,N,Bentonite,,Y,Prospect,,,,
"D.G. Rangel, Cantera",-14.85165,-75.30636,Ica,N,Bentonite,,Y,Producer,,,,
"La Huerta No. 1, Cantera",-14.85609,-75.15802,Ica,N,Bentonite,,Y,Past Producer,,,"Bentonite,Shale",
"La Huerta No. 2, Cantera",-14.86859,-75.13719,Ica,N,Bentonite,,Y,Past Producer,,,"Bentonite,Shale",
"La Huerta No. 3, Cantera",-14.88943,-75.16636,Ica,N,Bentonite,,Y,Past Producer,,,"Bentonite,Shale",
"Area Palpa, Cantera",-14.49778,-75.19136,Ica,N,Bentonite,,Y,Occurrence,,,"Bentonite,Shale",
"Estanqueria, Cantera",-14.80332,-75.14413,Ica,N,Bentonite,,Y,Occurrence,,,"Bentonite,Shale",
"Tambo De Perro, Cantera",-14.81026,-75.17469,Ica,N,Bentonite,,Y,Occurrence,,,"Bentonite,Shale",
"Quemado, Cantera",-14.84359,-75.18025,Ica,N,Bentonite,,Y,Occurrence,,,"Bentonite,Shale",
"Cps-1, Cantera",-15.23525,-75.18302,Ica,N,Bentonite,,Y,Past Producer,,,"Bentonite,Shale",
"Cps - 149, Cantera",-15.39774,-75.08302,Ica,N,Bentonite,,Y,Past Producer,,,"Bentonite,Shale",
"Cps - 150, Cantera",-15.38941,-75.0608,Ica,N,Bentonite,,Y,Past Producer,,,"Bentonite,Shale",
"Cps-152, Cantera",-15.41441,-75.03302,Ica,N,Bentonite,,Y,Past Producer,,,"Bentonite,Shale",
"Paracas, Cantera",-13.8678,-76.33972,Ica,N,Bentonite,,Y,Producer,,,"Bentonite,Conglomerate",
"Roto, Cantera",-15.03109,-75.40803,Ica,N,"Marble, Dimension, Stone, Dimension",,S,Producer,,,"Schist,Limestone,Dolomite","Monzonite,Diorite"
"San Juan, Cantera",-15.18775,-75.17969,Ica,N,"Marble, Dimension, Stone, Dimension",,S,Producer,,,"Schist,Limestone,Dolomite",
"Mina 11, Cantera",-15.18942,-75.12747,Ica,N,Dolomite,,N,Past Producer,,,,
"15 De Noviembre, Cantera",-15.04776,-74.94969,Ica,N,Kaolin,,N,Past Producer,,,Slate,Diorite
"Maria De Los Santos, Cantera",-15.04776,-74.90801,Ica,N,Kaolin,,S,Past Producer,,,Slate,Diorite
"Copara 2, Cantera",-15.03943,-74.90801,Ica,N,Kaolin,,S,Past Producer,,Underground,Slate,
"Raul, Cantera",-14.85609,-74.95802,Ica,N,"Limestone, General",,Y,Producer,,,Slate,
"Maijo Grande, Cantera",-13.92697,-75.30387,Ica,N,Diatomite,,N,Occurrence,Diatomite,,Diatomite,
"Estrellas Unidas, Cantera",-14.6186,-75.11913,Ica,N,Boron-Borates,,Y,Past Producer,,Underground,Volcanic Breccia (Agglomerate),Andesite
"El Tunel, Cantera",-14.00612,-75.24136,Ica,N,"Stone, Dimension",,Y,Producer,,,"Shale,Limestone",Diorite
"Beatriz, Cantera",-13.9103,-75.97193,Ica,N,"Stone, Dimension",,Y,Producer,,,,
"De Otuma, Cantera",-13.98946,-76.23305,Ica,N,Halite,,Y,Producer,,,Clastic Sedimentary Rock,
"Cerro Serpiente, Cantera",-14.28945,-75.48303,Ica,N,"Stone, Dimension",,Y,Producer,,,Limestone,Diorite
"Cerro Jamis, Cantera",-14.27611,-75.51637,Ica,N,"Stone, Dimension",,Y,Producer,,,,
"La Ballena De Ocucaje, Cantera",-14.35611,-75.69971,Ica,M,Magnesite,,S,Producer,,,Diatomite,
"Santa Rosa I-86, Cantera",-14.44778,-75.60803,Ica,N,Diatomite,,N,Occurrence,Diatomite,,Diatomite,
"Correviento, Cantera",-13.6367,-75.79554,Ica,N,Bentonite,,Y,Producer,,Underground,"Bentonite,Shale",
"Julia, Cantera",-13.56031,-75.51359,Ica,N,Boron-Borates,,S,Past Producer,,,Volcanic Breccia (Agglomerate),Andesite
"Humay, Cantera",-13.21782,-75.72971,Ica,N,Kaolin,,N,Occurrence,,,Limestone,Monzonite
"El Reposo, Cantera",-13.59225,-75.59137,Ica,N,"Limestone, General",,N,Occurrence,,,"Quartzite,Limestone","Tonalite,Diorite"
"Santa Rosa 13, Cantera",-13.78669,-76.27055,Ica,N,"Limestone, General",,Y,Producer,,,,
"De Otuma, Cantera",-13.98946,-76.23305,Ica,N,Halite,,Y,Producer,,,,
"Dona Dina, Cantera",-13.9228,-76.09972,Ica,N,Clay,,S,Occurrence,,,"Bentonite,Shale",
"Tierra Blanca, Cantera",-13.92558,-76.05666,Ica,N,Diatomite,,Y,Producer,Diatomite,Surface,Diatomite,
"Cerro Caucato, Cantera",-13.65337,-76.17472,Ica,N,Diatomite,,Y,Producer,Diatomite,,Diatomite,
"Cerro Mirador, Cantera",-13.48114,-76.02471,Ica,N,Quartz,,Y,Past Producer,,Underground,Plutonic Rock,Diorite
"De Cerro Colorado, Cantera",-13.33115,-76.06639,Ica,N,Bentonite,,Y,Past Producer,,Underground,Limestone,Diorite
"La Calera, Cantera",-14.61444,-75.11636,Ica,N,Boron-Borates,,Y,Past Producer,,,Volcanic Breccia (Agglomerate),Andesite
"Coquimbana C, Mina",-13.8978,-75.69971,Ica,M,"Copper, Silver",,Y,Producer,,Underground,Diorite,
"Chalcopirita, Mina",-13.8728,-75.65804,Ica,M,"Silver, Copper",,Y,Past Producer,,Underground,Diorite,
"Fortuna, Mina",-13.86863,-75.65804,Ica,M,"Silver, Copper",,Y,Past Producer,Malachite,Underground,Diorite,
"Casa Blanca, Mina",-13.87002,-75.64831,Ica,M,Copper,,Y,Producer,,Underground,Diorite,
"Azurita, Mina",-13.97696,-75.64359,Ica,M,"Copper, Silver",,Y,Past Producer,"Atacamite, Malachite",Underground,Diorite,
"Quispe, Mina",-13.86447,-75.6497,Ica,M,"Silver, Copper",,Y,Producer,,Unknown,Diorite,
"Contradiccion, Mina",-14.00612,-75.59414,Ica,M,"Copper, Silver",,Y,Past Producer,,Underground,Monzonite,
"San Pedro, Mina",-14.00612,-75.59414,Ica,M,"Copper, Silver",,Y,Past Producer,,Surface/Underground,Diorite,
"Raquel, Mina",-13.99918,-75.60387,Ica,M,"Copper, Silver",,Y,Past Producer,,,Monzonite,
"Adelaida, Mina",-13.9964,-75.59692,Ica,M,"Copper, Silver",,Y,Past Producer,,Surface/Underground,Monzonite,
"Tapadita, Mina",-13.99223,-75.59414,Ica,M,"Silver, Copper",,Y,Past Producer,,,Monzonite,
"Monte Rosas, Mina",-13.99501,-75.59692,Ica,M,"Copper, Silver",,Y,Past Producer,,Underground,Monzonite,
"Cuprita, Mina",-13.99362,-75.59692,Ica,M,"Silver, Copper",,Y,Past Producer,,Underground,Monzonite,
"Cobre Santo's 1, 2, 3 Y 4, Mina",-13.99223,-75.59553,Ica,M,"Copper, Silver",,Y,Past Producer,,,Monzonite,
"Cabeza De Negro, Mina",-14.02557,-75.5247,Ica,M,"Copper, Silver",,Y,Past Producer,"Atacamite, Malachite",Underground,Diorite,
"Santa Julia, Mina",-14.2089,-75.40331,Ica,M,"Silver, Copper",,Y,Producer,Malachite,Underground,,Diorite
"San Pablo, Mina",-14.2089,-75.40387,Ica,M,"Silver, Copper",,Y,Producer,Malachite,Underground,,Diorite
"Reynas, Minas",-13.85197,-75.6497,Ica,M,"Silver, Copper",,Y,Past Producer,,,Diorite,
"Santa Luisa, Mina",-13.53114,-75.53303,Ica,M,Copper,,Y,Past Producer,Malachite,,Andesite,Andesite
"Frida Elizabeth, Mina",-13.69641,-75.80249,Ica,M,"Silver, Copper",,Y,Past Producer,,,,Diorite
"Condor, Mina",-13.53114,-75.52053,Ica,M,"Copper, Lead, Zinc",,Y,Producer,Galena,,"Slate,Shale",Andesite
"Eritrita, Mina",-13.7478,-75.72471,Ica,M,Copper,,Y,Past Producer,,,"Volcanic Rock (Aphanitic),Volcanic Breccia (Agglomerate)",Diorite
Mina Eliana,-13.75613,-75.69138,Ica,M,"Zinc, Copper",,Y,Past Producer,,,"Andesite,Basalt",Diorite
"Mojudar, Mina",-13.75613,-75.69138,Ica,M,Copper,,Y,Past Producer,,,Diorite,Diorite
"San Martin, Mina",-13.75613,-72.6913,Ica,M,Copper,,Y,Past Producer,Galena,Underground,"Slate,Chert",Diorite
"Cinco Cruces, Mina",-13.58114,-75.94693,Ica,M,Copper,,Y,Past Producer,,,Andesite,Diorite
Las Minas,-13.83669,-75.66082,Ica,M,Copper,,Y,Past Producer,"Atacamite, Malachite",,Monzonite,
Prospecto Santa Filomena,-14.5686,-74.86218,Ica,M,"Copper, Gold",,Y,Occurrence,,,,
"Tentadora, Mina",-13.63114,-75.5497,Ica,M,"Lead, Silver, Zinc, Copper",,Y,Past Producer,,Underground,Limestone,Diorite
Cuartillo,-13.91447,-75.69971,Ica,M,"Copper, Silver",,Y,Past Producer,,Underground,Diorite,
"Azurita, Mina",-13.96446,-75.63303,Ica,M,"Copper, Silver",,Y,Past Producer,"Atacamite, Malachite",Underground,Diorite,
"Buena Vista, Mina",-14.26945,-75.56164,Ica,M,"Copper, Silver",,Y,Past Producer,,Underground,,
"Camborda, Mina",-14.22889,-75.4197,Ica,M,"Copper, Silver",,Y,Past Producer,"Atacamite, Malachite",,,
Luz Del Sol Prospecto,-14.59888,-75.1358,Ica,M,"Gold, Copper",,Y,Past Producer,Malachite,Underground,Andesite,
"Chavez, Mina",-14.22889,-75.4197,Ica,M,"Gold, Copper, Silver",,Y,Producer,"Atacamite, Malachite",,,
"Sol De Oro, Mina",-14.98109,-74.83301,Ica,M,Copper,,Y,Past Producer,,,Volcanic Breccia (Agglomerate),Diorite
"Eliseo, Mina",-14.25778,-75.40192,Ica,M,"Copper, Silver",,Y,Past Producer,,,,
Huachinga,-13.41448,-75.83304,Ica,M,Copper,,Y,Past Producer,,,,
Almacen,-13.23254,-75.91638,Ica,M,"Molybdenum, Cobalt",,Y,Past Producer,,,Diorite,Tonalite
"Sayhua, Mina",-13.36449,-75.66638,Ica,M,Copper,,Y,Past Producer,,,,
"Saramarca, Mina",-14.48945,-75.09969,Ica,M,"Copper, Silver",,Y,Past Producer,Galena,,Metavolcanic Rock,Tonalite
"San Hilarion De Tarma, Prospecto",-11.39706,-75.62388,Junin,M,"Copper, Silver, Lead",,Y,Occurrence,Galena,,Limestone,
"El Julio, Prospecto",-11.73288,-76.00416,Junin,M,"Silver, Copper",,Y,Occurrence,,,Limestone,
"Pachancoto Sur, Mina",-11.73288,-76.00416,Junin,M,"Silver, Lead",,Y,Occurrence,,,Diorite,Diorite
"La Girondina, Prospecto",-11.59566,-76.13389,Junin,M,"Silver, Zinc, Lead",,Y,Occurrence,Galena,,Andesite,Andesite
"Olvidada, Prospecto",-7.89998,-78.57395,La Libertad,M,"Silver, Gold",,Y,Producer,,,,
"La Sirena, Mina",-11.73288,-76.00416,Junin,M,Lead,,Y,Prospect,Galena,Underground,Diorite,Diorite
"La Salvadora, Prospecto",-11.46622,-75.63304,Junin,M,"Arsenic, Silver, Antimony, Lead",,S,Prospect,,Underground,Quartzite,
"Esperanza De Huasahuasi 1969 Y 1970, Prospecto",-11.22846,-75.69804,Junin,M,"Copper, Silver",,Y,Occurrence,,,Andesite,Andesite
"San Vicente, Mina",-11.1479,-75.18303,Junin,M,"Silver, Lead, Zinc",,M,Producer,Galena,,Limestone,Granite
"Yuritala # 1, Prospecto",-11.51872,-75.58082,Junin,M,"Copper, Silver",,Y,Prospect,,,Limestone,
"Chanchamina, Mina",-11.38122,-75.78304,Junin,M,"Silver, Gold, Zinc, Lead",,S,Past Producer,Galena,,Limestone,Dacite
"Halcon, Minas",-11.42678,-75.5736,Junin,M,"Zinc, Lead, Silver",,Y,Occurrence,,,Limestone,
"Rimavel, Prospecto",-11.38539,-75.55832,Junin,M,Copper,,Y,Occurrence,,,Conglomerate,
"Nirvana 1, Prospecto",-11.3965,-75.40053,Junin,M,"Silver, Copper",,Y,Occurrence,,,Schist,
"Milagro, Prospecto",-11.31483,-75.74971,Junin,M,"Lead, Silver",,Y,Occurrence,,,Andesite,Andesite
"Don Enrique, Prospecto",-11.34122,-75.56471,Junin,N,Talc-Soapstone,,S,Prospect,,Surface/Underground,,
"Urania, Prospecto",-11.38539,-75.55832,Junin,M,"Copper, Silver, Gold",,Y,Occurrence,,,,
"Capac, Prospecto",-11.34122,-75.56471,Junin,N,Barium-Barite,,S,Prospect,,Surface/Underground,Andesite,Andesite
"Cinco Estrellas, Prospecto",-11.38539,-75.55832,Junin,M,"Copper, Lead, Silver",,Y,Occurrence,,,"Slate,Shale,Limestone",Andesite
"Pirineos, Prospecto",-11.28928,-75.7686,Junin,M,Lead,,Y,Past Producer,Galena,Underground,Limestone,
"Natividad, Prospecto",-11.28928,-75.7686,Junin,M,"Silver, Copper",,Y,Occurrence,,,Limestone,
"Austria Duvaz, Mina",-11.5951,-76.13389,Junin,M,"Zinc, Copper, Silver",,S,Prospect,,Underground,Monzonite,Monzonite
"Segunda, Prospecto",-11.66149,-76.08166,Junin,M,"Zinc, Silver",,Y,Occurrence,Galena,,Limestone,
Solitaria Y Sarita,-11.66149,-76.08166,Junin,M,"Silver, Lead, Zinc",,S,Prospect,Galena,,Limestone,Andesite
"Delia, Mina",-11.66149,-76.19916,Junin,M,Silver,,S,Prospect,,Underground,,
"San Juan, Prospecto",-11.66149,-76.08166,Junin,M,"Lead, Silver",,S,Prospect,,,Limestone,Monzonite
"San Florencio, Mina",-11.59566,-76.13389,Junin,M,Zinc,,Y,Prospect,Galena,,Andesite,Andesite
"Azucarera Primera, Mina",-11.78149,-75.93304,Junin,M,Silver,,Y,Prospect,Galena,Underground,Andesite,Andesite
"Los Angeles 6, Prospecto",-11.73094,-76.13333,Junin,M,"Copper, Lead, Silver",,Y,Occurrence,Galena,Underground,Andesite,Andesite
"Hilda, Prospecto",-11.9662,-75.80221,Junin,M,"Zinc, Copper",,Y,Occurrence,,,Volcanic Rock (Aphanitic),Volcanic Rock (Aphanitic)
"Porvenir, Prospecto.",-11.5951,-76.13389,Junin,M,Silver,,S,Prospect,Galena,,Limestone,"Monzonite,Basalt"
"Juanita, Prospecto",-11.66149,-76.08166,Junin,M,Silver,,S,Prospect,Galena,Underground,Andesite,Andesite
"Wali-Wanka  21, Mina",-11.92454,-76.045,Junin,M,"Lead, Silver, Antimony",,Y,Past Producer,,,Limestone,Andesite
"Tuco Blanco, Prospecto",-11.469,-75.95861,Junin,N,Barium-Barite,,S,Prospect,,Surface,Limestone,
"Afortunada Solitaria, Mina",-11.40067,-76.33139,Junin,M,"Silver, Zinc, Lead",,Y,Occurrence,Galena,,"Limestone,Andesite",Andesite
"Adela, Mina",-11.40067,-76.33139,Junin,M,"Silver, Zinc, Lead",,Y,Occurrence,Galena,,,
"Sanguinetti, Prospecto",-11.40067,-76.33139,Junin,M,"Zinc, Lead, Silver",,S,Occurrence,Galena,,Limestone,
"Negra, Prospecto",-11.73094,-76.13333,Junin,M,"Copper, Lead, Silver",,N,Occurrence,Galena,,Volcanic Rock (Aphanitic),Volcanic Rock (Aphanitic)
"Dona Manuela Iii, Prospecto",-11.75871,-75.94832,Junin,M,"Lead, Zinc, Silver",,S,Prospect,Galena,,Quartzite,
"Aerolito Iv, Prospecto",-11.76955,-75.975,Junin,M,"Zinc, Lead, Silver",,S,Occurrence,Galena,Underground,,Volcanic Rock (Aphanitic)
"Valentino, Prospecto",-11.83093,-75.97416,Junin,M,"Zinc, Lead, Silver",,S,Prospect,,,Limestone,
"Prosperidad 2, Prospecto",-11.66149,-76.08166,Junin,M,"Silver, Copper",,S,Prospect,,,Slate,
"Heroica Cantena, Prospecto",-11.54149,-76.32583,Junin,M,"Zinc, Copper, Lead, Silver",,S,Prospect,,,,Plutonic Rock
"Vicunita B, Prospecto",-11.81759,-75.83721,Junin,M,"Gold, Silver, Copper",,S,Occurrence,,,Limestone,Monzonite
"Santa Rosita, Mina",-11.68982,-76.17916,Junin,M,"Copper, Silver",,S,Prospect,,,Andesite,Andesite
"Julia # 1, Mina",-11.70621,-76.20805,Junin,M,"Zinc, Copper, Lead, Silver",,N,Occurrence,,,Andesite,Andesite
"Antigua Nivel Laguna, Prospecto",-11.68982,-76.17916,Junin,M,"Silver, Lead",,S,Occurrence,,,Andesite,Andesite
"El Milagro De Santa Rosario, Prospecto",-11.72066,-76.16639,Junin,M,"Copper, Lead, Silver",,N,Occurrence,,,Andesite,
"Aerolito # 6, Prospecto",-11.76955,-75.975,Junin,M,"Silver, Lead, Zinc",Manto,N,Prospect,,,Limestone,Diorite
"Mushcapata, Mina",-11.5951,-76.13389,Junin,M,"Zinc, Lead, Silver",,Y,Past Producer,,,,
"Martes, Prospecto",-11.71455,-76.16639,Junin,M,Silver,,S,Prospect,,,,"Volcanic Rock (Aphanitic),Andesite"
"Triunfo, Mina",-11.66149,-76.08166,Junin,M,"Copper, Silver",,S,Prospect,,,,
"San Nicolas, Mina",-11.66149,-76.08166,Junin,M,"Copper, Gold, Silver, Lead, Zinc",,S,Prospect,,,,
"Luz Maria , Mina",-11.99537,-77.0303,Lima,M,"Copper, Silver, Gold",,N,Occurrence,Malachite,,,Diorite
"Roy Dos, Mina",-10.40349,-76.93724,Lima,M,"Silver, Lead, Zinc",,N,Occurrence,,,,Volcanic Rock (Aphanitic)
"Pamela, Mina",-12.30119,-75.82638,Lima,M,"Zinc, Lead",,Y,Past Producer,Galena,,Limestone,
"Gloria, Mina",-12.37952,-75.70971,Lima,M,"Zinc, Lead",,N,Occurrence,Galena,,Limestone,
"Saturno, Mina",-12.36952,-75.87304,Lima,M,"Zinc, Lead",,Y,Past Producer,Galena,Underground,Limestone,
"Lomo De Corvina, Cantera",-12.23119,-76.94307,Lima,M,Silica,,S,Producer,,Surface,,
"Colqui-Camino, Minera",-11.66705,-76.49973,Lima,M,"Silver, Copper, Lead, Zinc",,M,Producer,Galena,Underground,,
"Segurudad Cuatro, Mina",-12.31868,-75.85804,Lima,M,Copper,,Y,Past Producer,,Underground,,
"Santa Rosa De Lima, Yacimiento",-11.92509,-77.04891,Lima,M,Silica,,U,Producer,,Surface,,
"Senor De Ascension De Santa Catalina No. 5, Mina",-11.2854,-76.62056,Lima,M,"Silver, Copper, Lead, Zinc",,U,Occurrence,,Underground,Andesite,Volcanic Rock (Aphanitic)
"Los Dos Paisanos, Canteras",-11.76316,-76.34778,Lima,N,"Limestone, General",,S,Producer,,,"Marble,Limestone",
"Mildred No. 1, Cantera",-12.21869,-76.85391,Lima,B,"Stone, Silica",,U,Occurrence,,,Alluvium,Plutonic Rock
"Dola, Mina",-11.65621,-77.08307,Lima,M,Copper,,U,Occurrence,Malachite,,,Diorite
"Uranmayo No. 6, Mina",-11.78121,-76.29555,Lima,M,"Zinc, Silver, Lead, Gold, Copper",,U,Past Producer,Galena,,,Andesite
"Constancia, Mina",-11.78455,-76.29389,Lima,M,"Copper, Silver, Zinc",,S,Producer,Galena,Underground,,Andesite
"Carolina, Mina",-11.84787,-76.24972,Lima,M,"Silver, Copper, Lead, Zinc",,S,Producer,Galena,Underground,,Volcanic Rock (Aphanitic)
"Colquechaca, Mina",-11.84787,-76.24972,Lima,M,"Lead, Zinc, Silver, Copper",,S,Producer,Galena,Underground,,Volcanic Rock (Aphanitic)
"Peru, Mina",-11.84787,-76.24972,Lima,M,"Copper, Silver, Lead, Zinc",,S,Producer,Galena,Underground,,Volcanic Rock (Aphanitic)
"Pincullo, Mina",-11.84787,-76.24972,Lima,M,"Copper, Silver, Lead, Zinc",,S,Producer,Galena,Underground,,Volcanic Rock (Aphanitic)
